location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI,,B2/B3,B2/B4,B2/B5,B2/B6,B2/B7,B2/B8,B2/B8A,B2/B11,B2/B12,B3/B2,B3/B4,B3/B5,B3/B6,B3/B7,B3/B8,B3/B8A,B3/B11,B3/B12,B4/B2,B4/B3,B4/B5,B4/B6,B4/B7,B4/B8,B4/B8A,B4/B11,B4/B12,B5/B2,B5/B3,B5/B4,B5/B6,B5/B7,B5/B8,B5/B8A,B5/B11,B5/B12,B6/B2,B6/B3,B6/B4,B6/B5,B6/B7,B6/B8,B6/B8A,B6/B11,B6/B12,B7/B2,B7/B3,B7/B4,B7/B5,B7/B6,B7/B8,B7/B8A,B7/B11,B7/B12,B8/B2,B8/B3,B8/B4,B8/B5,B8/B6,B8/B7,B8/B8A,B8/B11,B8/B12,B8A/B2,B8A/B3,B8A/B4,B8A/B5,B8A/B6,B8A/B7,B8A/B8,B8A/B11,B8A/B12,B11/B2,B11/B3,B11/B4,B11/B5,B11/B6,B11/B7,B11/B8,B11/B8A,B11/B12,B12/B2,B12/B3,B12/B4,B12/B5,B12/B6,B12/B7,B12/B8,B12/B8A,B12/B11,(B2-B3)/(B2+B3),(B2-B4)/(B2+B4),(B2-B5)/(B2+B5),(B2-B6)/(B2+B6),(B2-B7)/(B2+B7),(B2-B8)/(B2+B8),(B2-B8A)/(B2+B8A),(B2-B11)/(B2+B11),(B2-B12)/(B2+B12),(B3-B4)/(B3+B4),(B3-B5)/(B3+B5),(B3-B6)/(B3+B6),(B3-B7)/(B3+B7),(B3-B8)/(B3+B8),(B3-B8A)/(B3+B8A),(B3-B11)/(B3+B11),(B3-B12)/(B3+B12),(B4-B5)/(B4+B5),(B4-B6)/(B4+B6),(B4-B7)/(B4+B7),(B4-B8)/(B4+B8),(B4-B8A)/(B4+B8A),(B4-B11)/(B4+B11),(B4-B12)/(B4+B12),(B5-B6)/(B5+B6),(B5-B7)/(B5+B7),(B5-B8)/(B5+B8),(B5-B8A)/(B5+B8A),(B5-B11)/(B5+B11),(B5-B12)/(B5+B12),(B6-B7)/(B6+B7),(B6-B8)/(B6+B8),(B6-B8A)/(B6+B8A),(B6-B11)/(B6+B11),(B6-B12)/(B6+B12),(B7-B8)/(B7+B8),(B7-B8A)/(B7+B8A),(B7-B11)/(B7+B11),(B7-B12)/(B7+B12),(B8-B8A)/(B8+B8A),(B8-B11)/(B8+B11),(B8-B12)/(B8+B12),(B8A-B11)/(B8A+B11),(B8A-B12)/(B8A+B12),(B11-B12)/(B11+B12),,,ALL COMBINATIONS vs Chl-a  —  Mean Bands S2  (2024 only),,,
1,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,26,4.13,0.041249986,0.045152329,0.032679161,0.032917906,0.021696646,0.023291187,0.021855711,0.019955894,0.018291692,0.015293306,0.0415,0.0455,0.0328,0.0335,0.0217,0.0239,0.0226,0.02,0.0185,0.0154,0.001582976,0.001500301,0.002066641,0.001862111,0.004060613,0.004316547,0.424315783,0.420472443,,0.9136,1.2623,1.2531,1.9012,1.7711,1.8874,2.0671,2.2551,2.6973,1.0946,1.3817,1.3717,2.0811,1.9386,2.0659,2.2626,2.4685,2.9524,0.7922,0.7238,0.9927,1.5062,1.4031,1.4952,1.6376,1.7866,2.1368,0.7980,0.7290,1.0073,1.5172,1.4133,1.5061,1.6495,1.7996,2.1524,0.5260,0.4805,0.6639,0.6591,0.9315,0.9927,1.0872,1.1861,1.4187,0.5646,0.5158,0.7127,0.7076,1.0735,1.0657,1.1671,1.2733,1.5230,0.5298,0.4840,0.6688,0.6639,1.0073,0.9384,1.0952,1.1948,1.4291,0.4838,0.4420,0.6107,0.6062,0.9198,0.8568,0.9131,1.0910,1.3049,0.4434,0.4051,0.5597,0.5557,0.8431,0.7853,0.8369,0.9166,1.1961,0.3707,0.3387,0.4680,0.4646,0.7049,0.6566,0.6997,0.7664,0.8361,-0.0452,0.1159,0.1123,0.3106,0.2783,0.3073,0.3479,0.3856,0.4591,0.1603,0.1567,0.3509,0.3194,0.3477,0.3870,0.4234,0.4940,-0.0036,0.2020,0.1677,0.1985,0.2417,0.2823,0.3624,0.2055,0.1713,0.2020,0.2452,0.2856,0.3656,-0.0354,-0.0037,0.0418,0.0851,0.1731,0.0318,0.0771,0.1202,0.2073,0.0454,0.0888,0.1767,0.0435,0.1323,0.0893,,,Band Combination,Pearson R,R²,Strength
2,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,28,4.64,0.119122685,0.111950396,0.084436635,0.082539522,0.071332049,0.06269874,0.149792468,0.050779132,0.074731272,0.036518303,0.118,0.1044,0.0687,0.0705,0.0618,0.064,0.1548,0.0488,0.0662,0.0361,0.03456228,0.034253326,0.030671258,0.058569713,-0.009152529,0.003053435,0.203069477,0.174556211,,1.0641,1.4108,1.4432,1.6700,1.8999,0.7953,2.3459,1.5940,3.2620,0.9398,1.3259,1.3563,1.5694,1.7855,0.7474,2.2047,1.4980,3.0656,0.7088,0.7542,1.0230,1.1837,1.3467,0.5637,1.6628,1.1299,2.3122,0.6929,0.7373,0.9775,1.1571,1.3164,0.5510,1.6255,1.1045,2.2602,0.5988,0.6372,0.8448,0.8642,1.1377,0.4762,1.4048,0.9545,1.9533,0.5263,0.5601,0.7426,0.7596,0.8790,0.4186,1.2347,0.8390,1.7169,1.2575,1.3380,1.7740,1.8148,2.0999,2.3891,2.9499,2.0044,4.1018,0.4263,0.4536,0.6014,0.6152,0.7119,0.8099,0.3390,0.6795,1.3905,0.6273,0.6675,0.8851,0.9054,1.0477,1.1919,0.4989,1.4717,2.0464,0.3066,0.3262,0.4325,0.4424,0.5119,0.5824,0.2438,0.7192,0.4887,0.0310,0.1704,0.1814,0.2509,0.3103,-0.1141,0.4023,0.2290,0.5307,0.1401,0.1512,0.2216,0.2820,-0.1446,0.3759,0.1994,0.5081,0.0114,0.0841,0.1477,-0.2790,0.2489,0.0610,0.3962,0.0728,0.1366,-0.2895,0.2382,0.0496,0.3865,0.0644,-0.3548,0.1683,-0.0233,0.3228,-0.4099,0.1050,-0.0876,0.2639,0.4937,0.3343,0.6080,-0.1908,0.1634,0.3435,,,B2 (individual),0.0110,0.0001,? Very weak
3,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,29,4.3,0.043688604,0.05313106,0.035511705,0.034914372,0.022470119,0.021863354,0.022072996,0.017947158,0.014668519,0.01271694,0.0426,0.0518,0.0341,0.0341,0.0236,0.0215,0.0202,0.0183,0.0144,0.0122,0.003467625,0.003240198,0.003494303,0.003900626,-0.007541314,-0.004092769,0.571085467,0.572700322,,0.8223,1.2303,1.2513,1.9443,1.9983,1.9793,2.4343,2.9784,3.4355,1.2161,1.4962,1.5218,2.3645,2.4301,2.4071,2.9604,3.6221,4.1780,0.8128,0.6684,1.0171,1.5804,1.6243,1.6088,1.9787,2.4209,2.7925,0.7992,0.6571,0.9832,1.5538,1.5969,1.5818,1.9454,2.3802,2.7455,0.5143,0.4229,0.6328,0.6436,1.0278,1.0180,1.2520,1.5319,1.7669,0.5004,0.4115,0.6157,0.6262,0.9730,0.9905,1.2182,1.4905,1.7192,0.5052,0.4154,0.6216,0.6322,0.9823,1.0096,1.2299,1.5048,1.7357,0.4108,0.3378,0.5054,0.5140,0.7987,0.8209,0.8131,1.2235,1.4113,0.3358,0.2761,0.4131,0.4201,0.6528,0.6709,0.6645,0.8173,1.1535,0.2911,0.2394,0.3581,0.3642,0.5659,0.5817,0.5761,0.7086,0.8670,-0.0975,0.1032,0.1116,0.3207,0.3329,0.3287,0.4176,0.4973,0.5491,0.1988,0.2069,0.4056,0.4169,0.4130,0.4950,0.5673,0.6137,0.0085,0.2249,0.2379,0.2334,0.3286,0.4154,0.4726,0.2169,0.2299,0.2253,0.3210,0.4083,0.4660,0.0137,0.0089,0.1119,0.2101,0.2772,-0.0048,0.0984,0.1969,0.2645,0.1031,0.2015,0.2689,0.1005,0.1706,0.0713,,,B3 (individual),0.0096,0.0001,? Very weak
4,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,26,4.51,0.044219483,0.052150197,0.035106143,0.035271549,0.023278254,0.02314404,0.022141777,0.018496879,0.013627369,0.011605313,0.044,0.0522,0.0348,0.0351,0.0232,0.0229,0.022,0.0183,0.0133,0.0114,0.001301978,0.001323463,0.001138072,0.001140519,0.002463083,0.002824859,0.585618883,0.589424551,,0.8479,1.2596,1.2537,1.8996,1.9106,1.9971,2.3906,3.2449,3.8103,1.1793,1.4855,1.4785,2.2403,2.2533,2.3553,2.8194,3.8269,4.4936,0.7939,0.6732,0.9953,1.5081,1.5169,1.5855,1.8979,2.5761,3.0250,0.7976,0.6763,1.0047,1.5152,1.5240,1.5930,1.9069,2.5883,3.0393,0.5264,0.4464,0.6631,0.6600,1.0058,1.0513,1.2585,1.7082,2.0058,0.5234,0.4438,0.6593,0.6562,0.9942,1.0453,1.2512,1.6983,1.9943,0.5007,0.4246,0.6307,0.6278,0.9512,0.9567,1.1971,1.6248,1.9079,0.4183,0.3547,0.5269,0.5244,0.7946,0.7992,0.8354,1.3573,1.5938,0.3082,0.2613,0.3882,0.3864,0.5854,0.5888,0.6155,0.7367,1.1742,0.2624,0.2225,0.3306,0.3290,0.4985,0.5014,0.5241,0.6274,0.8516,-0.0823,0.1149,0.1126,0.3103,0.3129,0.3327,0.4101,0.5288,0.5842,0.1953,0.1931,0.3828,0.3852,0.4039,0.4764,0.5857,0.6359,-0.0024,0.2026,0.2054,0.2265,0.3099,0.4407,0.5031,0.2048,0.2076,0.2287,0.3120,0.4426,0.5049,0.0029,0.0250,0.1145,0.2615,0.3346,0.0221,0.1116,0.2588,0.3321,0.0897,0.2380,0.3122,0.1516,0.2289,0.0801,,,B4 (individual),0.0467,0.0022,? Very weak
5,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,30,5.8,0.051235307,0.065489517,0.043565675,0.042077,0.026408336,0.024969127,0.02614819,0.020975288,0.018336388,0.015530213,0.0516,0.0656,0.044,0.0426,0.0266,0.0254,0.0264,0.0213,0.0183,0.0157,0.002214611,0.002152531,0.002263785,0.002109334,-0.017459229,-0.016166282,0.563210546,0.569620252,,0.7823,1.1760,1.2177,1.9401,2.0519,1.9594,2.4427,2.7942,3.2991,1.2782,1.5032,1.5564,2.4799,2.6228,2.5046,3.1222,3.5716,4.2169,0.8503,0.6652,1.0354,1.6497,1.7448,1.6661,2.0770,2.3759,2.8052,0.8213,0.6425,0.9658,1.5933,1.6852,1.6092,2.0060,2.2947,2.7094,0.5154,0.4032,0.6062,0.6276,1.0576,1.0099,1.2590,1.4402,1.7004,0.4873,0.3813,0.5731,0.5934,0.9455,0.9549,1.1904,1.3617,1.6078,0.5104,0.3993,0.6002,0.6214,0.9901,1.0472,1.2466,1.4260,1.6837,0.4094,0.3203,0.4815,0.4985,0.7943,0.8400,0.8022,1.1439,1.3506,0.3579,0.2800,0.4209,0.4358,0.6943,0.7344,0.7012,0.8742,1.1807,0.3031,0.2371,0.3565,0.3691,0.5881,0.6220,0.5939,0.7404,0.8470,-0.1221,0.0809,0.0981,0.3198,0.3447,0.3242,0.4191,0.4729,0.5348,0.2010,0.2177,0.4253,0.4479,0.4293,0.5148,0.5625,0.6166,0.0174,0.2452,0.2713,0.2498,0.3500,0.4076,0.4744,0.2288,0.2552,0.2335,0.3347,0.3930,0.4608,0.0280,0.0049,0.1147,0.1804,0.2594,-0.0231,0.0869,0.1532,0.2331,0.1098,0.1756,0.2548,0.0671,0.1492,0.0829,,,B5 (individual),0.1214,0.0147,? Very weak
6,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,27,5.34,0.038734952,0.049545115,0.031944764,0.030654829,0.017802583,0.018597136,0.017256345,0.014530601,0.01006888,0.008044399,0.0389,0.0495,0.0322,0.0306,0.0179,0.0186,0.0172,0.0143,0.0104,0.0082,0.001430915,0.00148699,0.001304072,0.000870646,-0.020497335,-0.021538462,0.662583449,0.658692181,,0.7818,1.2126,1.2636,2.1758,2.0828,2.2447,2.6658,3.8470,4.8151,1.2791,1.5510,1.6162,2.7830,2.6641,2.8711,3.4097,4.9206,6.1590,0.8247,0.6448,1.0421,1.7944,1.7177,1.8512,2.1984,3.1726,3.9711,0.7914,0.6187,0.9596,1.7219,1.6484,1.7764,2.1097,3.0445,3.8107,0.4596,0.3593,0.5573,0.5807,0.9573,1.0317,1.2252,1.7681,2.2130,0.4801,0.3754,0.5822,0.6067,1.0446,1.0777,1.2799,1.8470,2.3118,0.4455,0.3483,0.5402,0.5629,0.9693,0.9279,1.1876,1.7138,2.1451,0.3751,0.2933,0.4549,0.4740,0.8162,0.7813,0.8420,1.4431,1.8063,0.2599,0.2032,0.3152,0.3285,0.5656,0.5414,0.5835,0.6929,1.2517,0.2077,0.1624,0.2518,0.2624,0.4519,0.4326,0.4662,0.5536,0.7989,-0.1225,0.0961,0.1164,0.3702,0.3512,0.3836,0.4544,0.5874,0.6561,0.2160,0.2355,0.4713,0.4542,0.4834,0.5465,0.6622,0.7206,0.0206,0.2843,0.2641,0.2985,0.3747,0.5207,0.5977,0.2652,0.2448,0.2797,0.3568,0.5055,0.5843,-0.0218,0.0156,0.1012,0.2775,0.3775,0.0374,0.1228,0.2975,0.3961,0.0858,0.2630,0.3641,0.1814,0.2873,0.1118,,,B6 (individual),0.0815,0.0066,? Very weak
7,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,27,7.93,0.048567144,0.056139046,0.040854737,0.040296042,0.026120267,0.02642073,0.024082891,0.021244449,0.02080793,0.018783747,0.0483,0.056,0.041,0.0397,0.026,0.0265,0.0237,0.021,0.0205,0.0192,0.002884146,0.003070131,0.002875568,0.002305073,-0.006588377,-0.006849315,0.459186167,0.459602654,,0.8651,1.1888,1.2053,1.8594,1.8382,2.0167,2.2861,2.3341,2.5856,1.1559,1.3741,1.3932,2.1493,2.1248,2.3311,2.6425,2.6980,2.9887,0.8412,0.7277,1.0139,1.5641,1.5463,1.6964,1.9231,1.9634,2.1750,0.8297,0.7178,0.9863,1.5427,1.5252,1.6732,1.8968,1.9366,2.1453,0.5378,0.4653,0.6393,0.6482,0.9886,1.0846,1.2295,1.2553,1.3906,0.5440,0.4706,0.6467,0.6557,1.0115,1.0971,1.2437,1.2697,1.4066,0.4959,0.4290,0.5895,0.5976,0.9220,0.9115,1.1336,1.1574,1.2821,0.4374,0.3784,0.5200,0.5272,0.8133,0.8041,0.8821,1.0210,1.1310,0.4284,0.3706,0.5093,0.5164,0.7966,0.7876,0.8640,0.9795,1.1078,0.3868,0.3346,0.4598,0.4661,0.7191,0.7109,0.7800,0.8842,0.9027,-0.0723,0.0862,0.0931,0.3005,0.2953,0.3370,0.3914,0.4001,0.4422,0.1576,0.1643,0.3649,0.3600,0.3996,0.4509,0.4592,0.4986,0.0069,0.2200,0.2146,0.2583,0.3158,0.3251,0.3701,0.2134,0.2080,0.2518,0.3096,0.3189,0.3641,-0.0057,0.0406,0.1029,0.1132,0.1634,0.0463,0.1086,0.1188,0.1689,0.0626,0.0730,0.1236,0.0104,0.0615,0.0511,,,B7 (individual),0.0842,0.0071,? Very weak
8,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,28,8.41,0.054544931,0.06179048,0.043471047,0.044023617,0.027860769,0.029677422,0.032337307,0.023936366,0.024305644,0.019763156,0.0534,0.0615,0.0433,0.0441,0.0282,0.0305,0.0297,0.0234,0.0242,0.0199,0.004586353,0.002509703,0.001615849,0.007819811,0.006539389,0.009237875,0.436042795,0.432768375,,0.8827,1.2547,1.2390,1.9578,1.8379,1.6867,2.2787,2.2441,2.7599,1.1328,1.4214,1.4036,2.2178,2.0821,1.9108,2.5814,2.5422,3.1265,0.7970,0.7035,0.9874,1.5603,1.4648,1.3443,1.8161,1.7885,2.1996,0.8071,0.7125,1.0127,1.5801,1.4834,1.3614,1.8392,1.8113,2.2276,0.5108,0.4509,0.6409,0.6329,0.9388,0.8616,1.1640,1.1463,1.4097,0.5441,0.4803,0.6827,0.6741,1.0652,0.9177,1.2398,1.2210,1.5017,0.5929,0.5233,0.7439,0.7345,1.1607,1.0896,1.3510,1.3304,1.6362,0.4388,0.3874,0.5506,0.5437,0.8591,0.8066,0.7402,0.9848,1.2112,0.4456,0.3934,0.5591,0.5521,0.8724,0.8190,0.7516,1.0154,1.2298,0.3623,0.3198,0.4546,0.4489,0.7094,0.6659,0.6112,0.8257,0.8131,-0.0623,0.1130,0.1067,0.3238,0.2953,0.2556,0.3900,0.3835,0.4681,0.1740,0.1679,0.3785,0.3511,0.3129,0.4416,0.4354,0.5153,-0.0063,0.2188,0.1886,0.1469,0.2898,0.2828,0.3749,0.2248,0.1947,0.1530,0.2956,0.2886,0.3803,-0.0316,-0.0744,0.0758,0.0681,0.1700,-0.0429,0.1071,0.0995,0.2005,0.1493,0.1418,0.2413,-0.0077,0.0955,0.1031,,,B8 (individual),0.0732,0.0054,? Very weak
9,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,29,6.91,0.049965431,0.064222775,0.047958312,0.049702612,0.025082561,0.025605785,0.023677225,0.018518703,0.014962117,0.012603173,0.0497,0.0642,0.048,0.0502,0.0243,0.0255,0.0235,0.0184,0.0143,0.0127,0.001699003,0.001601745,0.001552835,0.001287634,0.017731335,0.016322089,0.622718196,0.628088415,,0.7780,1.0419,1.0053,1.9920,1.9513,2.1103,2.6981,3.3395,3.9645,1.2853,1.3391,1.2921,2.5605,2.5081,2.7124,3.4680,4.2924,5.0958,0.9598,0.7467,0.9649,1.9120,1.8729,2.0255,2.5897,3.2053,3.8053,0.9947,0.7739,1.0364,1.9816,1.9411,2.0992,2.6839,3.3219,3.9437,0.5020,0.3906,0.5230,0.5047,0.9796,1.0594,1.3544,1.6764,1.9902,0.5125,0.3987,0.5339,0.5152,1.0209,1.0815,1.3827,1.7114,2.0317,0.4739,0.3687,0.4937,0.4764,0.9440,0.9247,1.2786,1.5825,1.8787,0.3706,0.2884,0.3861,0.3726,0.7383,0.7232,0.7821,1.2377,1.4694,0.2994,0.2330,0.3120,0.3010,0.5965,0.5843,0.6319,0.8079,1.1872,0.2522,0.1962,0.2628,0.2536,0.5025,0.4922,0.5323,0.6806,0.8423,-0.1249,0.0205,0.0026,0.3316,0.3223,0.3570,0.4592,0.5391,0.5971,0.1450,0.1275,0.4383,0.4299,0.4613,0.5524,0.6221,0.6719,-0.0179,0.3132,0.3039,0.3390,0.4429,0.5244,0.5838,0.3292,0.3200,0.3547,0.4571,0.5372,0.5954,-0.0103,0.0288,0.1505,0.2527,0.3311,0.0391,0.1606,0.2624,0.3403,0.1223,0.2256,0.3052,0.1062,0.1901,0.0856,,,B8A (individual),0.0766,0.0059,? Very weak
10,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,29,9.01,0.046394012,0.05845343,0.04354262,0.045558982,0.023696191,0.02368562,0.023269216,0.018152123,0.01387079,0.011960514,0.0462,0.0588,0.0438,0.0463,0.0237,0.024,0.0234,0.0185,0.0136,0.0119,0.001800099,0.001976052,0.001415105,0.001468075,0.022336934,0.026200873,0.616614049,0.619921386,,0.7937,1.0655,1.0183,1.9579,1.9587,1.9938,2.5558,3.3447,3.8789,1.2599,1.3424,1.2830,2.4668,2.4679,2.5120,3.2202,4.2141,4.8872,0.9385,0.7449,0.9557,1.8375,1.8384,1.8713,2.3988,3.1392,3.6405,0.9820,0.7794,1.0463,1.9226,1.9235,1.9579,2.5098,3.2845,3.8091,0.5108,0.4054,0.5442,0.5201,1.0004,1.0183,1.3054,1.7084,1.9812,0.5105,0.4052,0.5440,0.5199,0.9996,1.0179,1.3048,1.7076,1.9803,0.5016,0.3981,0.5344,0.5107,0.9820,0.9824,1.2819,1.6776,1.9455,0.3913,0.3105,0.4169,0.3984,0.7660,0.7664,0.7801,1.3087,1.5177,0.2990,0.2373,0.3186,0.3045,0.5854,0.5856,0.5961,0.7641,1.1597,0.2578,0.2046,0.2747,0.2625,0.5047,0.5050,0.5140,0.6589,0.8623,-0.1150,0.0317,0.0091,0.3238,0.3240,0.3320,0.4375,0.5397,0.5901,0.1462,0.1240,0.4231,0.4233,0.4305,0.5261,0.6164,0.6603,-0.0226,0.2952,0.2954,0.3034,0.4116,0.5168,0.5690,0.3157,0.3159,0.3238,0.4302,0.5332,0.5841,0.0002,0.0091,0.1325,0.2615,0.3291,0.0089,0.1323,0.2613,0.3289,0.1235,0.2531,0.3210,0.1337,0.2056,0.0740,,,B11 (individual),0.0848,0.0072,? Very weak
