location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI,,B2/B3,B2/B4,B2/B5,B2/B6,B2/B7,B2/B8,B2/B8A,B2/B11,B2/B12,B3/B2,B3/B4,B3/B5,B3/B6,B3/B7,B3/B8,B3/B8A,B3/B11,B3/B12,B4/B2,B4/B3,B4/B5,B4/B6,B4/B7,B4/B8,B4/B8A,B4/B11,B4/B12,B5/B2,B5/B3,B5/B4,B5/B6,B5/B7,B5/B8,B5/B8A,B5/B11,B5/B12,B6/B2,B6/B3,B6/B4,B6/B5,B6/B7,B6/B8,B6/B8A,B6/B11,B6/B12,B7/B2,B7/B3,B7/B4,B7/B5,B7/B6,B7/B8,B7/B8A,B7/B11,B7/B12,B8/B2,B8/B3,B8/B4,B8/B5,B8/B6,B8/B7,B8/B8A,B8/B11,B8/B12,B8A/B2,B8A/B3,B8A/B4,B8A/B5,B8A/B6,B8A/B7,B8A/B8,B8A/B11,B8A/B12,B11/B2,B11/B3,B11/B4,B11/B5,B11/B6,B11/B7,B11/B8,B11/B8A,B11/B12,B12/B2,B12/B3,B12/B4,B12/B5,B12/B6,B12/B7,B12/B8,B12/B8A,B12/B11,(B2-B3)/(B2+B3),(B2-B4)/(B2+B4),(B2-B5)/(B2+B5),(B2-B6)/(B2+B6),(B2-B7)/(B2+B7),(B2-B8)/(B2+B8),(B2-B8A)/(B2+B8A),(B2-B11)/(B2+B11),(B2-B12)/(B2+B12),(B3-B4)/(B3+B4),(B3-B5)/(B3+B5),(B3-B6)/(B3+B6),(B3-B7)/(B3+B7),(B3-B8)/(B3+B8),(B3-B8A)/(B3+B8A),(B3-B11)/(B3+B11),(B3-B12)/(B3+B12),(B4-B5)/(B4+B5),(B4-B6)/(B4+B6),(B4-B7)/(B4+B7),(B4-B8)/(B4+B8),(B4-B8A)/(B4+B8A),(B4-B11)/(B4+B11),(B4-B12)/(B4+B12),(B5-B6)/(B5+B6),(B5-B7)/(B5+B7),(B5-B8)/(B5+B8),(B5-B8A)/(B5+B8A),(B5-B11)/(B5+B11),(B5-B12)/(B5+B12),(B6-B7)/(B6+B7),(B6-B8)/(B6+B8),(B6-B8A)/(B6+B8A),(B6-B11)/(B6+B11),(B6-B12)/(B6+B12),(B7-B8)/(B7+B8),(B7-B8A)/(B7+B8A),(B7-B11)/(B7+B11),(B7-B12)/(B7+B12),(B8-B8A)/(B8+B8A),(B8-B11)/(B8+B11),(B8-B12)/(B8+B12),(B8A-B11)/(B8A+B11),(B8A-B12)/(B8A+B12),(B11-B12)/(B11+B12),,,ALL COMBINATIONS vs Chl-a  —  Median Bands S2  (2024 only),,,
1,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,26,4.13,0.041249986,0.045152329,0.032679161,0.032917906,0.021696646,0.023291187,0.021855711,0.019955894,0.018291692,0.015293306,0.0415,0.0455,0.0328,0.0335,0.0217,0.0239,0.0226,0.02,0.0185,0.0154,0.001582976,0.001500301,0.002066641,0.001862111,0.004060613,0.004316547,0.424315783,0.420472443,,0.9121,1.2652,1.2388,1.9124,1.7364,1.8363,2.0750,2.2432,2.6948,1.0964,1.3872,1.3582,2.0968,1.9038,2.0133,2.2750,2.4595,2.9545,0.7904,0.7209,0.9791,1.5115,1.3724,1.4513,1.6400,1.7730,2.1299,0.8072,0.7363,1.0213,1.5438,1.4017,1.4823,1.6750,1.8108,2.1753,0.5229,0.4769,0.6616,0.6478,0.9079,0.9602,1.0850,1.1730,1.4091,0.5759,0.5253,0.7287,0.7134,1.1014,1.0575,1.1950,1.2919,1.5519,0.5446,0.4967,0.6890,0.6746,1.0415,0.9456,1.1300,1.2216,1.4675,0.4819,0.4396,0.6098,0.5970,0.9217,0.8368,0.8850,1.0811,1.2987,0.4458,0.4066,0.5640,0.5522,0.8525,0.7741,0.8186,0.9250,1.2013,0.3711,0.3385,0.4695,0.4597,0.7097,0.6444,0.6814,0.7700,0.8324,-0.0460,0.1171,0.1067,0.3133,0.2691,0.2949,0.3496,0.3833,0.4587,0.1622,0.1519,0.3542,0.3112,0.3363,0.3893,0.4219,0.4943,-0.0106,0.2037,0.1570,0.1841,0.2424,0.2788,0.3610,0.2138,0.1672,0.1943,0.2523,0.2885,0.3701,-0.0482,-0.0203,0.0408,0.0796,0.1698,0.0280,0.0888,0.1274,0.2163,0.0610,0.0998,0.1895,0.0390,0.1299,0.0914,,,Band Combination,Pearson R,R²,Strength
2,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,28,4.64,0.119122685,0.111950396,0.084436635,0.082539522,0.071332049,0.06269874,0.149792468,0.050779132,0.074731272,0.036518303,0.118,0.1044,0.0687,0.0705,0.0618,0.064,0.1548,0.0488,0.0662,0.0361,0.03456228,0.034253326,0.030671258,0.058569713,-0.009152529,0.003053435,0.203069477,0.174556211,,1.1303,1.7176,1.6738,1.9094,1.8438,0.7623,2.4180,1.7825,3.2687,0.8847,1.5197,1.4809,1.6893,1.6313,0.6744,2.1393,1.5770,2.8920,0.5822,0.6580,0.9745,1.1117,1.0734,0.4438,1.4078,1.0378,1.9030,0.5975,0.6753,1.0262,1.1408,1.1016,0.4554,1.4447,1.0650,1.9529,0.5237,0.5920,0.8996,0.8766,0.9656,0.3992,1.2664,0.9335,1.7119,0.5424,0.6130,0.9316,0.9078,1.0356,0.4134,1.3115,0.9668,1.7729,1.3119,1.4828,2.2533,2.1957,2.5049,2.4188,3.1721,2.3384,4.2881,0.4136,0.4674,0.7103,0.6922,0.7896,0.7625,0.3152,0.7372,1.3518,0.5610,0.6341,0.9636,0.9390,1.0712,1.0344,0.4276,1.3566,1.8338,0.3059,0.3458,0.5255,0.5121,0.5841,0.5641,0.2332,0.7398,0.5453,0.0612,0.2641,0.2520,0.3126,0.2967,-0.1349,0.4149,0.2812,0.5315,0.2062,0.1938,0.2563,0.2399,-0.1944,0.3629,0.2239,0.4861,-0.0129,0.0529,0.0354,-0.3852,0.1694,0.0185,0.3111,0.0658,0.0483,-0.3742,0.1819,0.0315,0.3227,-0.0175,-0.4294,0.1175,-0.0344,0.2625,-0.4150,0.1348,-0.0169,0.2787,0.5206,0.4009,0.6218,-0.1513,0.1496,0.2942,,,B2 (individual),-0.0053,0.0000,? Very weak
3,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,29,4.3,0.043688604,0.05313106,0.035511705,0.034914372,0.022470119,0.021863354,0.022072996,0.017947158,0.014668519,0.01271694,0.0426,0.0518,0.0341,0.0341,0.0236,0.0215,0.0202,0.0183,0.0144,0.0122,0.003467625,0.003240198,0.003494303,0.003900626,-0.007541314,-0.004092769,0.571085467,0.572700322,,0.8224,1.2493,1.2493,1.8051,1.9814,2.1089,2.3279,2.9583,3.4918,1.2160,1.5191,1.5191,2.1949,2.4093,2.5644,2.8306,3.5972,4.2459,0.8005,0.6583,1.0000,1.4449,1.5860,1.6881,1.8634,2.3681,2.7951,0.8005,0.6583,1.0000,1.4449,1.5860,1.6881,1.8634,2.3681,2.7951,0.5540,0.4556,0.6921,0.6921,1.0977,1.1683,1.2896,1.6389,1.9344,0.5047,0.4151,0.6305,0.6305,0.9110,1.0644,1.1749,1.4931,1.7623,0.4742,0.3900,0.5924,0.5924,0.8559,0.9395,1.1038,1.4028,1.6557,0.4296,0.3533,0.5367,0.5367,0.7754,0.8512,0.9059,1.2708,1.5000,0.3380,0.2780,0.4223,0.4223,0.6102,0.6698,0.7129,0.7869,1.1803,0.2864,0.2355,0.3578,0.3578,0.5169,0.5674,0.6040,0.6667,0.8472,-0.0975,0.1108,0.1108,0.2870,0.3292,0.3567,0.3990,0.4947,0.5547,0.2061,0.2061,0.3740,0.4134,0.4389,0.4779,0.5650,0.6188,0.0000,0.1820,0.2266,0.2560,0.3015,0.4062,0.4730,0.1820,0.2266,0.2560,0.3015,0.4062,0.4730,0.0466,0.0776,0.1265,0.2421,0.3184,0.0312,0.0804,0.1978,0.2760,0.0494,0.1676,0.2469,0.1193,0.2000,0.0827,,,B3 (individual),-0.0024,0.0000,? Very weak
4,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,26,4.51,0.044219483,0.052150197,0.035106143,0.035271549,0.023278254,0.02314404,0.022141777,0.018496879,0.013627369,0.011605313,0.044,0.0522,0.0348,0.0351,0.0232,0.0229,0.022,0.0183,0.0133,0.0114,0.001301978,0.001323463,0.001138072,0.001140519,0.002463083,0.002824859,0.585618883,0.589424551,,0.8429,1.2644,1.2536,1.8966,1.9214,2.0000,2.4044,3.3083,3.8596,1.1864,1.5000,1.4872,2.2500,2.2795,2.3727,2.8525,3.9248,4.5789,0.7909,0.6667,0.9915,1.5000,1.5197,1.5818,1.9016,2.6165,3.0526,0.7977,0.6724,1.0086,1.5129,1.5328,1.5955,1.9180,2.6391,3.0789,0.5273,0.4444,0.6667,0.6610,1.0131,1.0545,1.2678,1.7444,2.0351,0.5205,0.4387,0.6580,0.6524,0.9871,1.0409,1.2514,1.7218,2.0088,0.5000,0.4215,0.6322,0.6268,0.9483,0.9607,1.2022,1.6541,1.9298,0.4159,0.3506,0.5259,0.5214,0.7888,0.7991,0.8318,1.3759,1.6053,0.3023,0.2548,0.3822,0.3789,0.5733,0.5808,0.6045,0.7268,1.1667,0.2591,0.2184,0.3276,0.3248,0.4914,0.4978,0.5182,0.6230,0.8571,-0.0852,0.1168,0.1125,0.3095,0.3154,0.3333,0.4125,0.5358,0.5884,0.2000,0.1959,0.3846,0.3901,0.4070,0.4809,0.5939,0.6415,-0.0043,0.2000,0.2062,0.2254,0.3107,0.4470,0.5065,0.2041,0.2103,0.2294,0.3146,0.4504,0.5097,0.0065,0.0265,0.1181,0.2712,0.3410,0.0200,0.1117,0.2652,0.3353,0.0918,0.2465,0.3174,0.1582,0.2323,0.0769,,,B4 (individual),0.0346,0.0012,? Very weak
5,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,30,5.8,0.051235307,0.065489517,0.043565675,0.042077,0.026408336,0.024969127,0.02614819,0.020975288,0.018336388,0.015530213,0.0516,0.0656,0.044,0.0426,0.0266,0.0254,0.0264,0.0213,0.0183,0.0157,0.002214611,0.002152531,0.002263785,0.002109334,-0.017459229,-0.016166282,0.563210546,0.569620252,,0.7866,1.1727,1.2113,1.9398,2.0315,1.9545,2.4225,2.8197,3.2866,1.2713,1.4909,1.5399,2.4662,2.5827,2.4848,3.0798,3.5847,4.1783,0.8527,0.6707,1.0329,1.6541,1.7323,1.6667,2.0657,2.4044,2.8025,0.8256,0.6494,0.9682,1.6015,1.6772,1.6136,2.0000,2.3279,2.7134,0.5155,0.4055,0.6045,0.6244,1.0472,1.0076,1.2488,1.4536,1.6943,0.4922,0.3872,0.5773,0.5962,0.9549,0.9621,1.1925,1.3880,1.6178,0.5116,0.4024,0.6000,0.6197,0.9925,1.0394,1.2394,1.4426,1.6815,0.4128,0.3247,0.4841,0.5000,0.8008,0.8386,0.8068,1.1639,1.3567,0.3547,0.2790,0.4159,0.4296,0.6880,0.7205,0.6932,0.8592,1.1656,0.3043,0.2393,0.3568,0.3685,0.5902,0.6181,0.5947,0.7371,0.8579,-0.1195,0.0795,0.0955,0.3197,0.3403,0.3231,0.4156,0.4764,0.5334,0.1971,0.2126,0.4230,0.4418,0.4261,0.5098,0.5638,0.6138,0.0162,0.2465,0.2680,0.2500,0.3476,0.4125,0.4740,0.2312,0.2529,0.2348,0.3333,0.3990,0.4614,0.0231,0.0038,0.1106,0.1849,0.2577,-0.0193,0.0878,0.1625,0.2360,0.1069,0.1812,0.2542,0.0758,0.1514,0.0765,,,B5 (individual),0.1160,0.0134,? Very weak
6,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,27,5.34,0.038734952,0.049545115,0.031944764,0.030654829,0.017802583,0.018597136,0.017256345,0.014530601,0.01006888,0.008044399,0.0389,0.0495,0.0322,0.0306,0.0179,0.0186,0.0172,0.0143,0.0104,0.0082,0.001430915,0.00148699,0.001304072,0.000870646,-0.020497335,-0.021538462,0.662583449,0.658692181,,0.7859,1.2081,1.2712,2.1732,2.0914,2.2616,2.7203,3.7404,4.7439,1.2725,1.5373,1.6176,2.7654,2.6613,2.8779,3.4615,4.7596,6.0366,0.8278,0.6505,1.0523,1.7989,1.7312,1.8721,2.2517,3.0962,3.9268,0.7866,0.6182,0.9503,1.7095,1.6452,1.7791,2.1399,2.9423,3.7317,0.4602,0.3616,0.5559,0.5850,0.9624,1.0407,1.2517,1.7212,2.1829,0.4781,0.3758,0.5776,0.6078,1.0391,1.0814,1.3007,1.7885,2.2683,0.4422,0.3475,0.5342,0.5621,0.9609,0.9247,1.2028,1.6538,2.0976,0.3676,0.2889,0.4441,0.4673,0.7989,0.7688,0.8314,1.3750,1.7439,0.2674,0.2101,0.3230,0.3399,0.5810,0.5591,0.6047,0.7273,1.2683,0.2108,0.1657,0.2547,0.2680,0.4581,0.4409,0.4767,0.5734,0.7885,-0.1199,0.0942,0.1194,0.3697,0.3530,0.3868,0.4624,0.5781,0.6518,0.2118,0.2360,0.4688,0.4537,0.4843,0.5517,0.6528,0.7158,0.0255,0.2854,0.2677,0.3036,0.3849,0.5117,0.5941,0.2619,0.2439,0.2803,0.3630,0.4927,0.5773,-0.0192,0.0199,0.1118,0.2650,0.3716,0.0391,0.1307,0.2828,0.3881,0.0921,0.2464,0.3543,0.1579,0.2711,0.1183,,,B6 (individual),0.0651,0.0042,? Very weak
7,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,27,7.93,0.048567144,0.056139046,0.040854737,0.040296042,0.026120267,0.02642073,0.024082891,0.021244449,0.02080793,0.018783747,0.0483,0.056,0.041,0.0397,0.026,0.0265,0.0237,0.021,0.0205,0.0192,0.002884146,0.003070131,0.002875568,0.002305073,-0.006588377,-0.006849315,0.459186167,0.459602654,,0.8625,1.1780,1.2166,1.8577,1.8226,2.0380,2.3000,2.3561,2.5156,1.1594,1.3659,1.4106,2.1538,2.1132,2.3629,2.6667,2.7317,2.9167,0.8489,0.7321,1.0327,1.5769,1.5472,1.7300,1.9524,2.0000,2.1354,0.8219,0.7089,0.9683,1.5269,1.4981,1.6751,1.8905,1.9366,2.0677,0.5383,0.4643,0.6341,0.6549,0.9811,1.0970,1.2381,1.2683,1.3542,0.5487,0.4732,0.6463,0.6675,1.0192,1.1181,1.2619,1.2927,1.3802,0.4907,0.4232,0.5780,0.5970,0.9115,0.8943,1.1286,1.1561,1.2344,0.4348,0.3750,0.5122,0.5290,0.8077,0.7925,0.8861,1.0244,1.0938,0.4244,0.3661,0.5000,0.5164,0.7885,0.7736,0.8650,0.9762,1.0677,0.3975,0.3429,0.4683,0.4836,0.7385,0.7245,0.8101,0.9143,0.9366,-0.0738,0.0817,0.0977,0.3001,0.2914,0.3417,0.3939,0.4041,0.4311,0.1546,0.1703,0.3659,0.3576,0.4053,0.4545,0.4641,0.4894,0.0161,0.2239,0.2148,0.2674,0.3226,0.3333,0.3621,0.2085,0.1994,0.2524,0.3081,0.3189,0.3480,-0.0095,0.0463,0.1064,0.1183,0.1504,0.0558,0.1158,0.1277,0.1597,0.0604,0.0724,0.1049,0.0120,0.0448,0.0327,,,B7 (individual),0.0672,0.0045,? Very weak
8,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,28,8.41,0.054544931,0.06179048,0.043471047,0.044023617,0.027860769,0.029677422,0.032337307,0.023936366,0.024305644,0.019763156,0.0534,0.0615,0.0433,0.0441,0.0282,0.0305,0.0297,0.0234,0.0242,0.0199,0.004586353,0.002509703,0.001615849,0.007819811,0.006539389,0.009237875,0.436042795,0.432768375,,0.8683,1.2333,1.2109,1.8936,1.7508,1.7980,2.2821,2.2066,2.6834,1.1517,1.4203,1.3946,2.1809,2.0164,2.0707,2.6282,2.5413,3.0905,0.8109,0.7041,0.9819,1.5355,1.4197,1.4579,1.8504,1.7893,2.1759,0.8258,0.7171,1.0185,1.5638,1.4459,1.4848,1.8846,1.8223,2.2161,0.5281,0.4585,0.6513,0.6395,0.9246,0.9495,1.2051,1.1653,1.4171,0.5712,0.4959,0.7044,0.6916,1.0816,1.0269,1.3034,1.2603,1.5327,0.5562,0.4829,0.6859,0.6735,1.0532,0.9738,1.2692,1.2273,1.4925,0.4382,0.3805,0.5404,0.5306,0.8298,0.7672,0.7879,0.9669,1.1759,0.4532,0.3935,0.5589,0.5488,0.8582,0.7934,0.8148,1.0342,1.2161,0.3727,0.3236,0.4596,0.4512,0.7057,0.6525,0.6700,0.8504,0.8223,-0.0705,0.1044,0.0954,0.3088,0.2729,0.2852,0.3906,0.3763,0.4570,0.1737,0.1648,0.3712,0.3370,0.3487,0.4488,0.4352,0.5111,-0.0092,0.2112,0.1734,0.1863,0.2984,0.2830,0.3703,0.2199,0.1823,0.1951,0.3067,0.2914,0.3781,-0.0392,-0.0259,0.0930,0.0763,0.1726,0.0133,0.1317,0.1152,0.2103,0.1186,0.1020,0.1976,-0.0168,0.0808,0.0975,,,B8 (individual),0.0561,0.0031,? Very weak
9,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,29,6.91,0.049965431,0.064222775,0.047958312,0.049702612,0.025082561,0.025605785,0.023677225,0.018518703,0.014962117,0.012603173,0.0497,0.0642,0.048,0.0502,0.0243,0.0255,0.0235,0.0184,0.0143,0.0127,0.001699003,0.001601745,0.001552835,0.001287634,0.017731335,0.016322089,0.622718196,0.628088415,,0.7741,1.0354,0.9900,2.0453,1.9490,2.1149,2.7011,3.4755,3.9134,1.2918,1.3375,1.2789,2.6420,2.5176,2.7319,3.4891,4.4895,5.0551,0.9658,0.7477,0.9562,1.9753,1.8824,2.0426,2.6087,3.3566,3.7795,1.0101,0.7819,1.0458,2.0658,1.9686,2.1362,2.7283,3.5105,3.9528,0.4889,0.3785,0.5063,0.4841,0.9529,1.0340,1.3207,1.6993,1.9134,0.5131,0.3972,0.5313,0.5080,1.0494,1.0851,1.3859,1.7832,2.0079,0.4728,0.3660,0.4896,0.4681,0.9671,0.9216,1.2772,1.6434,1.8504,0.3702,0.2866,0.3833,0.3665,0.7572,0.7216,0.7830,1.2867,1.4488,0.2877,0.2227,0.2979,0.2849,0.5885,0.5608,0.6085,0.7772,1.1260,0.2555,0.1978,0.2646,0.2530,0.5226,0.4980,0.5404,0.6902,0.8881,-0.1273,0.0174,-0.0050,0.3432,0.3218,0.3579,0.4596,0.5531,0.5929,0.1444,0.1224,0.4508,0.4314,0.4641,0.5545,0.6357,0.6697,-0.0224,0.3278,0.3061,0.3427,0.4458,0.5409,0.5815,0.3477,0.3263,0.3623,0.4636,0.5566,0.5962,-0.0241,0.0167,0.1382,0.2591,0.3135,0.0408,0.1617,0.2814,0.3351,0.1217,0.2434,0.2983,0.1254,0.1833,0.0593,,,B8A (individual),0.0695,0.0048,? Very weak
10,2024-04-23 0:00:00,2024-04-20 0:00:00,3,Sentinel-2B,Sentinel-2,16.398731,30,SCL_class6_OR_MNDWI_gt_0,29,9.01,0.046394012,0.05845343,0.04354262,0.045558982,0.023696191,0.02368562,0.023269216,0.018152123,0.01387079,0.011960514,0.0462,0.0588,0.0438,0.0463,0.0237,0.024,0.0234,0.0185,0.0136,0.0119,0.001800099,0.001976052,0.001415105,0.001468075,0.022336934,0.026200873,0.616614049,0.619921386,,0.7857,1.0548,0.9978,1.9494,1.9250,1.9744,2.4973,3.3971,3.8824,1.2727,1.3425,1.2700,2.4810,2.4500,2.5128,3.1784,4.3235,4.9412,0.9481,0.7449,0.9460,1.8481,1.8250,1.8718,2.3676,3.2206,3.6807,1.0022,0.7874,1.0571,1.9536,1.9292,1.9786,2.5027,3.4044,3.8908,0.5130,0.4031,0.5411,0.5119,0.9875,1.0128,1.2811,1.7426,1.9916,0.5195,0.4082,0.5479,0.5184,1.0127,1.0256,1.2973,1.7647,2.0168,0.5065,0.3980,0.5342,0.5054,0.9873,0.9750,1.2649,1.7206,1.9664,0.4004,0.3146,0.4224,0.3996,0.7806,0.7708,0.7906,1.3603,1.5546,0.2944,0.2313,0.3105,0.2937,0.5738,0.5667,0.5812,0.7351,1.1429,0.2576,0.2024,0.2717,0.2570,0.5021,0.4958,0.5085,0.6432,0.8750,-0.1200,0.0267,-0.0011,0.3219,0.3162,0.3276,0.4281,0.5452,0.5904,0.1462,0.1189,0.4255,0.4203,0.4307,0.5213,0.6243,0.6634,-0.0277,0.2978,0.2920,0.3036,0.4061,0.5261,0.5727,0.3229,0.3172,0.3286,0.4290,0.5459,0.5911,-0.0063,0.0064,0.1232,0.2708,0.3315,0.0127,0.1294,0.2766,0.3370,0.1169,0.2649,0.3258,0.1526,0.2171,0.0667,,,B11 (individual),0.0727,0.0053,? Very weak
