location,Field_Date,Satellite_Date,Days Gaps,Satellite,Sensor,Scene_Cloud_Pct,Buffer_m,Water_Mask,valid_pixels,Target Variable(Chlorophyll-a),mean_B2,mean_B3,mean_B4,mean_B5,mean_B6,mean_B7,mean_B8,mean_B8A,mean_B11,mean_B12,med_B2,med_B3,med_B4,med_B5,med_B6,med_B7,med_B8,med_B8A,med_B11,med_B12,sd_B2,sd_B3,sd_B4,sd_B8,mean_NDCI,med_NDCI,mean_MNDWI,med_MNDWI
1,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,10,1.587584,0.347380747451868,0.342959305398263,0.301753340883352,0.313650811627029,0.331586674216685,0.341883427708569,0.407027482068705,0.336085428463571,0.324828954322385,0.246615892789732,0.3376,0.3404,0.306,0.3246,0.335,0.3505,0.3948,0.3407,0.3198,0.2596,0.042532171352989,0.0366977710494789,0.0354066886336468,0.0386193785553316,0.0203333425904518,0.0165300736213362,-0.0320276261816742,-0.0284291896969079
2,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,4,2.737198,0.1965216,0.232638857142857,0.207609828571428,0.202065485714285,0.218046857142857,0.239162628571428,0.207933257142857,0.251901371428571,0.218536,0.211757828571428,0.2078,0.2064,0.1926,0.1634,0.1833,0.2067,0.1916,0.2193,0.1929,0.1855,0.0556860844376762,0.0701627393991995,0.0847295698088926,0.093556436844292,-0.0173371836879169,-0.00337391814581197,-0.119389322720447,-0.135651886463165
3,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,28,2.404415,0.14944567575491,0.143950073292289,0.118449824098504,0.127781691586045,0.128659894459102,0.126524406332453,0.160696731163881,0.118322749926707,0.132504485488126,0.0928914834359425,0.1544,0.1494,0.1148,0.1096,0.1188,0.1133,0.1678,0.108,0.1178,0.0873,0.0246751134645778,0.0261041712203632,0.025232085987197,0.0327380208657162,0.0377303976784222,0.0448285965426311,0.0383038958707015,0.050247699022293
4,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,6,2.495174,0.444768794326241,0.449899858156028,0.414700141843971,0.429510638297872,0.433126808510638,0.433538581560283,0.495209787234042,0.427144468085106,0.407879787234042,0.340742553191489,0.4464,0.4472,0.4224,0.4343,0.4292,0.4191,0.4916,0.4175,0.3992,0.3264,0.0141561137165364,0.0143420128759302,0.0139274309667397,0.00923064040152217,0.0178469309157769,0.00789505648001944,-0.0364701689186534,-0.0457331463694572
6,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,27,2.585933,0.0276999298147108,0.0274957327344188,0.019148399775407,0.0176561341942728,0.00612397529477821,0.00876327905670971,0.000101544076361594,0.00856833239752947,0.0171509124087591,0.0200347838293093,0.0272,0.0267,0.0164,0.0145,0,0.0031,0,0.0076,0.0115,0.0194,0.00174589465551272,0.00420101235431384,0.00834867394578022,0.000736525040852291,-0.0560296449080709,-0.113553113553113,0.264208958987151,0.335294127464294
7,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,27,2.85821,0.0457566035087719,0.0628644350877193,0.0329665824561403,0.0264609684210526,0,0.00000204912280701754,0,0,0.00593785263157894,0.00639828771929824,0.046,0.063,0.0328,0.0259,0,0,0,0,0.006,0.0064,0.00156021348474182,0.00164707830445816,0.000945830500711865,0,-0.109693739713641,-0.114529914529914,0.82760520658995,0.826086938381195
8,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,28,1.95062,0.0471163437236731,0.0668233361415333,0.0388267621454647,0.0328187587756248,0.00638591687728166,0.00842600393147992,0.00601725638865487,0.00387037349059253,0.0142262566694748,0.0128881634372367,0.0472,0.0676,0.0394,0.033,0.0067,0.0081,0.0063,0.0043,0.0142,0.0129,0.00255795079016355,0.00248846317625792,0.00247823947962397,0.00233501518589651,-0.0835129056662171,-0.0809061488673138,0.649883715289926,0.643216073513031
9,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,29,3.856559,0.100320499859589,0.0884847935973041,0.0560050828418983,0.0564716090985678,0.0416200645885986,0.0384394552092109,0.0984329542263409,0.0301460404380791,0.0528533277169334,0.0275143639427127,0.0794,0.0739,0.045,0.0468,0.0296,0.0299,0.0656,0.0171,0.0416,0.0215,0.0531694404106256,0.0431662406074554,0.0319062948772541,0.0806468824151424,-0.0180489832608582,-0.041139240506329,0.311702703676565,0.338150292634964
11,05/15/2025,05/15/2025,0,Sentinel-2B,Sentinel-2,35.255203,30,SCL_class6_OR_MNDWI_gt_0,31,9.665135,0.0297404437578991,0.0377926414829377,0.0250074287319196,0.025428956607218,0,0,0,0,0.00287291110799045,0.00431176801011093,0.0296,0.038,0.025,0.0251,0,0,0,0,0.003,0.0043,0.000984383790200689,0.000940962820826181,0.000499489854215293,0,0.00830408202136953,0.00813008130081302,0.859107811863444,0.854368925094604
1,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,26,7.275148,0.0464539152399663,0.0707111001964636,0.036673589671625,0.0371153241650294,0.0302460847600337,0.0314905837777154,0.0277144120123491,0.0263129104687061,0.0148086163345495,0.0108626017401066,0.0465,0.0706,0.0365,0.0372,0.0302,0.032,0.0277,0.0264,0.0149,0.0109,0.00103469402046045,0.0009365759746075,0.0010108947937467,0.000498414646417316,0.0061054369049251,0.00680272108843537,0.653647953076139,0.652892589569091
2,06/16/2025,06/11/2025,5,Sentinel-2A,Sentinel-2,0.000421,30,SCL_class6_OR_MNDWI_gt_0,29,5.520474,0.0501365192982456,0.0748227649122806,0.0402935017543859,0.0396447578947368,0.0303470035087719,0.0304736421052631,0.0283312701754385,0.0264981192982456,0.015481698245614,0.0130338666666666,0.05,0.0749,0.0402,0.0395,0.0303,0.0305,0.0284,0.0265,0.0154,0.0128,0.000952123854091786,0.000944903092881865,0.000823481198441035,0.000848261844571644,-0.0080507003567947,-0.00863131935881626,0.657158531908403,0.659292042255401
